time_s,t_rel_s,V_measured,V_estimated,error_V,rmse_V,Current(A),cycle,step,pulse_no
26175.242,20.993999999998778,3.220018,3.227476937990196,0.007458937990195924,0.010032609944061584,-74.998994,1,34,7
26176.234,21.986000000000786,3.219337,3.227010409718085,0.007673409718085278,0.010032609944061584,-74.998982,1,34,7
26177.237,22.989000000001397,3.218687,3.2265591495064148,0.007872149506414683,0.010032609944061584,-74.999,1,34,7
26178.235,23.98700000000099,3.218061,3.2261288633372383,0.00806786333723819,0.010032609944061584,-74.998981,1,34,7
26179.234,24.986000000000786,3.217473,3.2257154992507853,0.00824249925078524,0.010032609944061584,-74.999104,1,34,7
26180.236,25.988000000001193,3.216895,3.2253172158616605,0.008422215861660476,0.010032609944061584,-74.998964,1,34,7
26181.235,26.98700000000099,3.216354,3.2249354600211375,0.008581460021137577,0.010032609944061584,-74.999007,1,34,7
26182.222,27.97400000000198,3.215826,3.2245725396215508,0.00874653962155092,0.010032609944061584,-74.998965,1,34,7
26183.225,28.976999999998952,3.215345,3.2242175427127013,0.008872542712701215,0.010032609944061584,-74.999018,1,34,7
26184.223,29.975000000002183,3.214879,3.2238775014409145,0.00899850144091463,0.010032609944061584,-74.999003,1,34,7
29835.019,0.0,3.301795,3.3017950000000065,6.661338147750939e-15,0.011537836476943186,-74.994943,1,39,8
29836.02,1.0010000000002037,3.24662,3.2834424820194714,0.03682248201947136,0.011537836476943186,-74.998343,1,39,8
29837.022,2.003000000000611,3.243123,3.270035529711007,0.026912529711006883,0.011537836476943186,-74.99837,1,39,8
29838.021,3.0020000000004075,3.240594,3.2602202331827845,0.019626233182784336,0.011537836476943186,-74.998714,1,39,8
29839.02,4.001000000000204,3.238336,3.252955018874533,0.014619018874533207,0.011537836476943186,-74.998746,1,39,8
29840.02,5.001000000000204,3.236358,3.2475216454938534,0.011163645493853291,0.011537836476943186,-74.998753,1,39,8
29841.035,6.015999999999622,3.234578,3.2433616678065325,0.008783667806532502,0.011537836476943186,-74.998809,1,39,8
